Source,Target,Type,Id,Label,Weight
R1,Male,Undirected,1281,,6
R1,8,Undirected,1282,,6
R2,Male,Undirected,1283,,7
R2,6,Undirected,1284,,6
R3,Male,Undirected,1285,,7
R3,7,Undirected,1286,,6
R4,Female,Undirected,1287,,6
R4,4,Undirected,1288,,6
R5,Female,Undirected,1289,,7
R5,7,Undirected,1290,,6
R6,Male,Undirected,1291,,6
R6,6,Undirected,1292,,6
R7,Female,Undirected,1293,,6
R7,8,Undirected,1294,,6
R8,Male,Undirected,1295,,6
R8,3,Undirected,1296,,6
R9,Male,Undirected,1297,,7
R9,3,Undirected,1298,,7
R10,Male,Undirected,1299,,7
R10,6,Undirected,1300,,6
R11,Female,Undirected,1301,,6
R11,13,Undirected,1302,,6
R12,Male,Undirected,1303,,6
R12,5,Undirected,1304,,6
R13,Male,Undirected,1305,,7
R13,5,Undirected,1306,,7
R14,Male,Undirected,1307,,7
R14,2,Undirected,1308,,6
R15,Male,Undirected,1309,,7
R15,10,Undirected,1310,,6
R16,Male,Undirected,1311,,7
R16,3,Undirected,1312,,6
R17,Female,Undirected,1313,,6
R17,10,Undirected,1314,,6
R18,Male,Undirected,1315,,6
R18,5,Undirected,1316,,6
R19,Male,Undirected,1317,,7
R19,5,Undirected,1318,,7
R20,Male,Undirected,1319,,7
R20,10,Undirected,1320,,6
R21,Male,Undirected,1321,,7
R21,9,Undirected,1322,,6
R22,Female,Undirected,1323,,6
R22,9,Undirected,1324,,7
R23,Male,Undirected,1325,,6
R23,8,Undirected,1326,,6
R24,Male,Undirected,1327,,7
R24,9,Undirected,1328,,6
R25,Male,Undirected,1329,,7
R25,6,Undirected,1330,,6
R26,Male,Undirected,1331,,6
R26,3,Undirected,1332,,5
R27,Male,Undirected,1333,,6
R27,7,Undirected,1334,,5
R1,R1,Undirected,1534,,3
R2,R2,Undirected,1537,,4
R3,R3,Undirected,1540,,4
R4,R4,Undirected,1543,,4
R5,R5,Undirected,1546,,4
R6,R6,Undirected,1549,,4
R7,R7,Undirected,1552,,4
R8,R8,Undirected,1555,,4
R9,R9,Undirected,1558,,4
R10,R10,Undirected,1561,,4
R11,R11,Undirected,1564,,4
R12,R12,Undirected,1567,,4
R13,R13,Undirected,1570,,4
R14,R14,Undirected,1573,,4
R15,R15,Undirected,1576,,4
R16,R16,Undirected,1579,,4
R17,R17,Undirected,1582,,4
R18,R18,Undirected,1585,,4
R19,R19,Undirected,1588,,4
R20,R20,Undirected,1591,,4
R21,R21,Undirected,1594,,4
R22,R22,Undirected,1597,,4
R23,R23,Undirected,1600,,4
R24,R24,Undirected,1603,,4
R25,R25,Undirected,1606,,4
R26,R26,Undirected,1609,,4
R27,R27,Undirected,1612,,4
R2,8,Undirected,1704,,1
R3,6,Undirected,1707,,1
R4,Male,Undirected,1709,,1
R4,7,Undirected,1710,,1
R5,4,Undirected,1713,,1
R6,Female,Undirected,1715,,1
R6,7,Undirected,1716,,1
R7,Male,Undirected,1718,,1
R7,6,Undirected,1719,,1
R8,Female,Undirected,1721,,1
R8,8,Undirected,1722,,1
R10,3,Undirected,1728,,1
R11,Male,Undirected,1730,,1
R11,6,Undirected,1731,,1
R12,Female,Undirected,1733,,1
R12,13,Undirected,1734,,1
R14,5,Undirected,1740,,1
R15,2,Undirected,1743,,1
R16,10,Undirected,1746,,1
R17,Male,Undirected,1748,,1
R17,3,Undirected,1749,,1
R18,Female,Undirected,1751,,1
R18,10,Undirected,1752,,1
R20,5,Undirected,1758,,1
R21,10,Undirected,1761,,1
R22,Male,Undirected,1763,,1
R23,Female,Undirected,1766,,1
R23,9,Undirected,1767,,1
R24,8,Undirected,1770,,1
R25,9,Undirected,1773,,1
R26,6,Undirected,1776,,1
R27,3,Undirected,1779,,1
R28,R28,Undirected,1780,,1
R28,Male,Undirected,1781,,1
R28,7,Undirected,1782,,1
R1,H8,Undirected,1864,,1
R2,H6,Undirected,1865,,1
R3,H7,Undirected,1866,,1
R4,H4,Undirected,1867,,1
R5,H7,Undirected,1868,,1
R6,H6,Undirected,1869,,1
R7,H8,Undirected,1870,,1
R8,H3,Undirected,1871,,1
R9,H3,Undirected,1872,,1
R10,H6,Undirected,1873,,1
R11,H13,Undirected,1874,,1
R12,H5,Undirected,1875,,1
R13,H5,Undirected,1876,,1
R14,H2,Undirected,1877,,1
R15,H10,Undirected,1878,,1
R16,H3,Undirected,1879,,1
R17,H10,Undirected,1880,,1
R18,H5,Undirected,1881,,1
R19,H5,Undirected,1882,,1
R20,H10,Undirected,1883,,1
R21,H9,Undirected,1884,,1
R22,H9,Undirected,1885,,1
R23,H8,Undirected,1886,,1
R24,H9,Undirected,1887,,1
R25,H6,Undirected,1888,,1
R26,H3,Undirected,1889,,1
R27,H7,Undirected,1890,,1
