"On average, how many hours per day do you spend on academic activities (studying, assignments, attending classes)? ",How many hours of sleep do you typically get on every day? ,"How many hours per day do you spend on non-academic activities (social media, play games, exercise)?",How many days in advance do you typically start working on assignments before the deadline?  ,How many study breaks (longer than 30 minutes) do you take during a typical study session?  ,"On a scale of 1-10, how would you rate your current time management skills?  "
8,10,7,3,1,4
6,8,5,3,3,5
7,6,2,5,2,6
4,6,2,2,2,7
7,6,4,7,4,5
6,6,6,5,1,6
8,6,3,5,2,9
3,6,10,4,2,9
3,4,5,3,2,3
6,6,6,7,2,7
13,6,5,7,3,6
5,5,5,3,3,4
5,5,2,2,2,9
2,5,4,3,1,7
10,8,4,5,3,6
3,5,4,3,3,5
10,6,5,5,1,5
5,6,10,4,2,7
5,7,3,10,2,5
10,8,5,14,1,7
9,6,8,7,3,5
9,4,2,3,2,7
8,6,2,1,1,10
9,6,4,3,1,4
6,5,2,1,2,4
3,5,7,2,2,3
